thread_count,chunk_size,average_time
1,1,0.2132177
1,8576,0.0550469
1,17153,0.0573996
1,25729,0.0512933
1,34306,0.0621105
1,42882,0.057703
1,51459,0.0538412
1,60035,0.0557498
1,68612,0.0592003
1,77188,0.0547431
1,85765,0.0585055
1,94341,0.0599067
1,102918,0.0570531
1,111494,0.0569053
1,120070,0.0579042
1,128647,0.0590572
1,137223,0.0551517
1,145800,0.0568052
1,154376,0.0563017
1,162953,0.0546492
1,171529,0.0540941
1,180106,0.0566434
1,188682,0.0556705
1,197259,0.0556091
1,205835,0.0551455
1,214412,0.0536427
1,222988,0.0510407
2,1,0.2228353
2,8576,0.0262797
2,17153,0.0274658
2,25729,0.0272009
2,34306,0.0283361
2,42882,0.0326617
2,51459,0.0273593
2,60035,0.0312508
2,68612,0.0292827
2,77188,0.031031
2,85765,0.0288758
2,94341,0.0274921
2,102918,0.0255843
2,111494,0.0249847
2,120070,0.0263638
2,128647,0.0278859
2,137223,0.0294315
2,145800,0.0315404
2,154376,0.032677
2,162953,0.0344756
2,171529,0.0360427
2,180106,0.0374052
2,188682,0.0394957
2,197259,0.0406404
2,205835,0.0429483
2,214412,0.044408
2,222988,0.0472378
3,1,0.1678361
3,8576,0.0187696
3,17153,0.0192368
3,25729,0.0175724
3,34306,0.0190382
3,42882,0.0207281
3,51459,0.0222078
3,60035,0.0221167
3,68612,0.0203326
3,77188,0.0193125
3,85765,0.0205059
3,94341,0.0217271
3,102918,0.0240658
3,111494,0.0259225
3,120070,0.0268574
3,128647,0.0295478
3,137223,0.0311656
3,145800,0.0334494
3,154376,0.0355409
3,162953,0.0372747
3,171529,0.0412209
3,180106,0.0383105
3,188682,0.0434863
3,197259,0.0439152
3,205835,0.0479901
3,214412,0.0476848
3,222988,0.0494738
4,1,0.1563642
4,8576,0.0170825
4,17153,0.0184662
4,25729,0.0182093
4,34306,0.0181686
4,42882,0.0222794
4,51459,0.0181518
4,60035,0.0180774
4,68612,0.0179998
4,77188,0.0209472
4,85765,0.0221681
4,94341,0.0239875
4,102918,0.0272942
4,111494,0.0281337
4,120070,0.0283373
4,128647,0.03073
4,137223,0.0317407
4,145800,0.0348895
4,154376,0.0352247
4,162953,0.0381117
4,171529,0.0387196
4,180106,0.041588
4,188682,0.0428266
4,197259,0.0437139
4,205835,0.0459524
4,214412,0.0474561
4,222988,0.0485986
5,1,0.1615829
5,8576,0.0163253
5,17153,0.0176282
5,25729,0.0180113
5,34306,0.0180597
5,42882,0.0215746
5,51459,0.0193316
5,60035,0.0176248
5,68612,0.0181777
5,77188,0.0199324
5,85765,0.0216036
5,94341,0.0240529
5,102918,0.0259818
5,111494,0.0270398
5,120070,0.0276731
5,128647,0.0293985
5,137223,0.0321132
5,145800,0.0332913
5,154376,0.0347317
5,162953,0.0369866
5,171529,0.0389053
5,180106,0.0396601
5,188682,0.0426213
5,197259,0.0442122
5,205835,0.0446183
5,214412,0.048798
5,222988,0.0483728
6,1,0.164161
6,8576,0.0162588
6,17153,0.0189006
6,25729,0.0184103
6,34306,0.018007
6,42882,0.0214645
6,51459,0.01852
6,60035,0.0183283
