thread_count,chunk_size,average_time
1,1,0.1822276
1,2,0.1027223
1,3,0.0877378
1,4,0.07496129999999998
1,7,0.061291799999999994
1,11,0.053283199999999996
1,17,0.0504605
1,28,0.047284900000000005
1,44,0.0457182
1,71,0.04423149999999999
1,114,0.0433308
1,183,0.0430476
1,294,0.042331799999999996
1,472,0.0424832
1,758,0.0422031
1,1218,0.042561299999999996
1,1955,0.04227179999999999
1,3140,0.0422742
1,5043,0.042352999999999995
1,8098,0.042100399999999996
1,13004,0.042676599999999995
1,20882,0.0420857
1,33533,0.0420371
1,53848,0.0422796
1,86472,0.0422192
1,138860,0.0424307
1,222988,0.0420155
2,1,0.2131917
2,2,0.1587198
2,3,0.1333145
2,4,0.12063520000000001
2,7,0.0983532
2,11,0.08386249999999999
2,17,0.0732246
2,28,0.043739700000000006
2,44,0.0358631
2,71,0.028366299999999994
2,114,0.026819
2,183,0.0244367
2,294,0.02416
2,472,0.025056699999999998
2,758,0.0255733
2,1218,0.024593200000000003
2,1955,0.024527200000000002
2,3140,0.024167599999999997
2,5043,0.0249549
2,8098,0.0250121
2,13004,0.0251018
2,20882,0.025630000000000003
2,33533,0.0263409
2,53848,0.024848500000000003
2,86472,0.027450099999999998
2,138860,0.028504099999999997
2,222988,0.0452223
3,1,0.1614257
3,2,0.1396285
3,3,0.11962860000000002
3,4,0.11254659999999998
3,7,0.0823911
3,11,0.06463650000000001
3,17,0.0440942
3,28,0.029937399999999996
3,44,0.0234035
3,71,0.0194611
3,114,0.018563700000000002
3,183,0.018396700000000002
3,294,0.017392400000000002
3,472,0.0174687
3,758,0.0173597
3,1218,0.017828599999999997
3,1955,0.017691
3,3140,0.0176369
3,5043,0.017036100000000005
3,8098,0.017989
3,13004,0.0186871
3,20882,0.0192363
3,33533,0.0194709
3,53848,0.023936400000000004
3,86472,0.0209622
3,138860,0.029751500000000004
3,222988,0.0460397
4,1,0.1463412
4,2,0.1224149
4,3,0.107828
4,4,0.0945571
4,7,0.07453770000000001
4,11,0.053328799999999996
4,17,0.0377619
4,28,0.0245131
4,44,0.0183224
4,71,0.0148784
4,114,0.014821999999999998
4,183,0.0137801
4,294,0.013478300000000002
4,472,0.0139791
4,758,0.013645899999999999
4,1218,0.0140905
4,1955,0.0137071
4,3140,0.014021
4,5043,0.014569800000000003
4,8098,0.014644700000000002
4,13004,0.015859500000000002
4,20882,0.0153094
4,33533,0.016621300000000002
4,53848,0.0172812
4,86472,0.020696799999999998
4,138860,0.0303687
4,222988,0.0466153
5,1,0.1481433
5,2,0.1247725
5,3,0.1090115
5,4,0.09619319999999999
5,7,0.07564039999999998
5,11,0.053322900000000006
5,17,0.037634100000000004
5,28,0.023928699999999997
5,44,0.016987500000000003
5,71,0.014371600000000002
5,114,0.013931599999999999
5,183,0.013235
5,294,0.013176200000000002
5,472,0.013053700000000001
5,758,0.0131693
5,1218,0.0138603
5,1955,0.013335999999999997
5,3140,0.0139704
5,5043,0.0138734
5,8098,0.0140157
5,13004,0.0156205
5,20882,0.0152389
5,33533,0.0165466
5,53848,0.015201000000000001
5,86472,0.020272199999999997
5,138860,0.029863099999999997
5,222988,0.04572520000000001
6,1,0.14320660000000002
6,2,0.12259919999999999
6,3,0.1076036
6,4,0.09489170000000001
6,7,0.0749843
6,11,0.053577
6,17,0.038335400000000006
6,28,0.02477
6,44,0.017776800000000002
6,71,0.0154559
6,114,0.014505100000000002
6,183,0.014348999999999997
6,294,0.014600199999999999
6,472,0.012750000000000003
6,758,0.0127046
6,1218,0.0133576
6,1955,0.013783400000000001
6,3140,0.0137898
6,5043,0.013781400000000003
6,8098,0.0140781
6,13004,0.015899299999999998
6,20882,0.015672000000000002
6,33533,0.016434200000000003
6,53848,0.0151949
6,86472,0.0200257
6,138860,0.0299418
6,222988,0.0455594
7,1,0.14371180000000003
7,2,0.12283410000000002
7,3,0.10791659999999999
7,4,0.0955304
7,7,0.0750558
7,11,0.0537307
7,17,0.038010300000000004
7,28,0.0240025
7,44,0.0178003
7,71,0.0154284
7,114,0.014634900000000001
7,183,0.014224500000000001
7,294,0.013624899999999999
7,472,0.013702200000000001
7,758,0.0135067
7,1218,0.013589099999999998
7,1955,0.013661099999999999
7,3140,0.0143619
7,5043,0.013780800000000001
7,8098,0.013961199999999998
7,13004,0.0159835
7,20882,0.015571699999999999
7,33533,0.017005700000000002
7,53848,0.0152761
7,86472,0.019643799999999996
7,138860,0.029905200000000003
7,222988,0.045683800000000004
8,1,0.1437772
8,2,0.1227682
8,3,0.10809609999999999
8,4,0.0951263
8,7,0.07508480000000001
8,11,0.0539965
8,17,0.0384809
8,28,0.025948499999999996
8,44,0.0181021
8,71,0.0152077
8,114,0.0153726
8,183,0.0145139
8,294,0.0143456
8,472,0.0139611
8,758,0.013378000000000001
8,1218,0.013551900000000002
8,1955,0.0137016
8,3140,0.0138968
8,5043,0.014053399999999999
8,8098,0.013713099999999997
8,13004,0.015886400000000002
8,20882,0.0155886
8,33533,0.016059200000000003
8,53848,0.015735500000000003
8,86472,0.019717000000000005
8,138860,0.0302537
8,222988,0.04631690000000001
9,1,0.1437496
9,2,0.12385280000000001
9,3,0.10823210000000001
9,4,0.0955404
9,7,0.07540720000000001
9,11,0.05403149999999999
9,17,0.0386412
9,28,0.0257386
9,44,0.0181604
9,71,0.0157082
9,114,0.014902099999999998
9,183,0.0147482
9,294,0.014216699999999999
9,472,0.0141936
9,758,0.0143488
9,1218,0.013553800000000001
9,1955,0.013957500000000001
9,3140,0.014011699999999998
9,5043,0.014083100000000001
9,8098,0.013927100000000001
9,13004,0.016270700000000003
9,20882,0.0157936
9,33533,0.016711999999999998
9,53848,0.0156271
9,86472,0.0201375
9,138860,0.0297987
9,222988,0.0459044
10,1,0.1442981
10,2,0.12469920000000001
10,3,0.10828439999999999
10,4,0.095226
10,7,0.0754949
10,11,0.0540987
10,17,0.038581500000000005
10,28,0.025415399999999998
10,44,0.018776
10,71,0.0166165
10,114,0.015021799999999998
10,183,0.0145739
10,294,0.0143427
10,472,0.014700299999999996
10,758,0.014358899999999999
10,1218,0.0136904
10,1955,0.013705700000000001
10,3140,0.013858500000000001
10,5043,0.014544699999999997
10,8098,0.013733100000000002
10,13004,0.0160274
10,20882,0.0154058
10,33533,0.016564300000000004
10,53848,0.0155611
10,86472,0.020217100000000002
10,138860,0.0299331
10,222988,0.0455931
11,1,0.14349
11,2,0.1236794
11,3,0.10825289999999999
11,4,0.0954517
11,7,0.0753397
11,11,0.05439390000000001
11,17,0.0391664
11,28,0.0258383
11,44,0.0191033
11,71,0.0161563
11,114,0.0155494
11,183,0.0151295
11,294,0.014663200000000001
11,472,0.014477
11,758,0.014276599999999997
11,1218,0.013895700000000002
11,1955,0.013495299999999998
11,3140,0.013519600000000001
11,5043,0.014436999999999997
11,8098,0.014116299999999998
11,13004,0.0163625
11,20882,0.016434699999999997
11,33533,0.017377200000000002
11,53848,0.015812100000000003
11,86472,0.0205637
11,138860,0.030300200000000006
11,222988,0.04643309999999999
12,1,0.1441265
12,2,0.1238117
12,3,0.1084862
12,4,0.0953792
12,7,0.0757002
12,11,0.0545813
12,17,0.039047700000000005
12,28,0.0267038
12,44,0.018420600000000002
12,71,0.016576799999999996
12,114,0.015728100000000002
12,183,0.0153893
12,294,0.015455499999999997
12,472,0.0153337
12,758,0.0149487
12,1218,0.0139589
12,1955,0.014268899999999998
12,3140,0.013642400000000002
12,5043,0.014551600000000001
12,8098,0.014607599999999998
12,13004,0.0160474
12,20882,0.0167186
12,33533,0.0169857
12,53848,0.015617799999999998
12,86472,0.020566300000000003
12,138860,0.030368899999999997
12,222988,0.0454304
13,1,0.1439051
