thread_count,chunk_size,average_time
1,1,0.0773313
1,8576,0.0423214
1,17153,0.0424654
1,25729,0.0422847
1,34306,0.0421301
1,42882,0.0421345
1,51459,0.0420487
1,60035,0.0428065
1,68612,0.0430773
1,77188,0.0441006
1,85765,0.0417354
1,94341,0.0416488
1,102918,0.0416464
1,111494,0.0420761
1,120070,0.042476
1,128647,0.0420201
1,137223,0.0420613
1,145800,0.0415278
1,154376,0.0422323
1,162953,0.0414234
1,171529,0.0416839
1,180106,0.0414848
1,188682,0.0421982
1,197259,0.0413935
1,205835,0.0419354
1,214412,0.0415301
1,222988,0.0412691
2,1,0.0403187
2,8576,0.0246668
2,17153,0.0258556
2,25729,0.0262024
2,34306,0.0259373
2,42882,0.0269104
2,51459,0.0256394
2,60035,0.0259089
2,68612,0.0295075
2,77188,0.0301314
2,85765,0.0287902
2,94341,0.0276348
2,102918,0.0262119
2,111494,0.0245205
2,120070,0.0257734
2,128647,0.0274997
2,137223,0.0289432
2,145800,0.0303995
2,154376,0.0320087
2,162953,0.0342222
2,171529,0.0356955
2,180106,0.0369833
2,188682,0.0387773
2,197259,0.04024
2,205835,0.042127
2,214412,0.0436136
2,222988,0.0458097
3,1,0.0287162
3,8576,0.0189612
3,17153,0.0204292
3,25729,0.0190735
3,34306,0.0203
3,42882,0.02035
3,51459,0.0240082
3,60035,0.0233576
3,68612,0.0205967
3,77188,0.0190534
3,85765,0.0204864
3,94341,0.0221969
3,102918,0.0235963
3,111494,0.025636
3,120070,0.0270533
3,128647,0.0284134
3,137223,0.0299954
3,145800,0.0317973
3,154376,0.0332522
3,162953,0.0351988
3,171529,0.0363116
3,180106,0.0381135
3,188682,0.0399057
3,197259,0.0409789
3,205835,0.0429787
3,214412,0.0444778
3,222988,0.0464376
4,1,0.0246863
4,8576,0.0160575
4,17153,0.0176579
4,25729,0.0175349
4,34306,0.0178451
4,42882,0.0206879
4,51459,0.0181582
4,60035,0.0162603
4,68612,0.0175871
4,77188,0.0194206
4,85765,0.0203399
4,94341,0.0228032
4,102918,0.0236367
4,111494,0.0255499
4,120070,0.0277064
4,128647,0.0289433
4,137223,0.0304434
4,145800,0.0319029
4,154376,0.034215
4,162953,0.0350689
4,171529,0.0361441
4,180106,0.038595
4,188682,0.0401191
4,197259,0.0419364
4,205835,0.0435996
