thread_count,chunk_size,average_time
1,1,0.0867743
1,2,0.06660370000000002
1,3,0.0597853
1,4,0.05702
1,7,0.054820200000000006
1,11,0.051218
1,17,0.050197099999999995
1,28,0.044848200000000005
1,44,0.0448605
1,71,0.05269480000000001
1,114,0.0472171
1,183,0.045723599999999996
1,294,0.0470756
1,472,0.0429305
1,758,0.0439905
1,1218,0.0534084
1,1955,0.0463721
1,3140,0.044109699999999995
1,5043,0.043865999999999995
1,8098,0.0434523
1,13004,0.043188199999999996
1,20882,0.0437605
1,33533,0.0442794
1,53848,0.043906900000000006
1,86472,0.0432612
1,138860,0.04352589999999999
1,222988,0.042816700000000006
2,1,0.0411643
2,2,0.0372313
2,3,0.03382519999999999
2,4,0.0310711
2,7,0.028517600000000004
2,11,0.027083499999999993
2,17,0.026457
2,28,0.026518399999999998
2,44,0.026221900000000003
2,71,0.025814099999999996
2,114,0.0252778
2,183,0.024921500000000003
2,294,0.025393199999999998
2,472,0.0249431
2,758,0.024821000000000003
2,1218,0.025250099999999998
2,1955,0.025102600000000003
2,3140,0.0248817
2,5043,0.0239573
2,8098,0.0249491
2,13004,0.0257885
2,20882,0.026041400000000003
2,33533,0.026808800000000004
2,53848,0.025331899999999997
2,86472,0.02973
2,138860,0.029695200000000005
2,222988,0.046973100000000004
3,1,0.029086
3,2,0.026578199999999996
3,3,0.0242875
3,4,0.022820200000000006
3,7,0.0212403
3,11,0.020242600000000003
3,17,0.020209800000000003
3,28,0.019950299999999997
3,44,0.019811600000000002
3,71,0.0187327
3,114,0.018483199999999998
3,183,0.0185816
3,294,0.0186944
3,472,0.018554400000000002
3,758,0.0183154
3,1218,0.0184886
3,1955,0.018998300000000003
3,3140,0.0183959
3,5043,0.018196399999999998
3,8098,0.018738700000000004
3,13004,0.018916399999999996
3,20882,0.01993
3,33533,0.0211527
3,53848,0.024700999999999997
3,86472,0.0206246
3,138860,0.030715700000000002
3,222988,0.047176300000000004
4,1,0.0259251
4,2,0.024988899999999998
4,3,0.0226359
4,4,0.020802099999999997
4,7,0.019011999999999998
4,11,0.019162
4,17,0.0191664
4,28,0.017121
4,44,0.018397700000000003
4,71,0.0172748
4,114,0.0178256
4,183,0.0173612
4,294,0.0163559
4,472,0.0164619
4,758,0.016807700000000002
4,1218,0.0170798
4,1955,0.016809400000000002
4,3140,0.016534899999999998
4,5043,0.016595699999999998
4,8098,0.0166995
4,13004,0.018062299999999996
4,20882,0.017681400000000003
4,33533,0.018600300000000004
4,53848,0.018495699999999997
4,86472,0.020957899999999998
4,138860,0.0297609
4,222988,0.0476664
5,1,0.03804780000000001
5,2,0.0351472
5,3,0.028317500000000002
5,4,0.029497000000000002
5,7,0.025987099999999996
5,11,0.0246772
5,17,0.0238681
5,28,0.0241402
5,44,0.0244189
5,71,0.0232359
5,114,0.0219581
5,183,0.022343399999999996
5,294,0.022059000000000002
5,472,0.0213042
5,758,0.020091599999999998
5,1218,0.0206934
5,1955,0.020676899999999998
5,3140,0.0205375
5,5043,0.020482900000000002
5,8098,0.020376
5,13004,0.0206299
5,20882,0.020754100000000004
5,33533,0.022013300000000003
5,53848,0.017461299999999996
5,86472,0.020871999999999998
5,138860,0.0310219
5,222988,0.0474093
6,1,0.028857599999999994
6,2,0.0261819
6,3,0.024549900000000003
6,4,0.0235117
6,7,0.0233183
6,11,0.0215344
6,17,0.021373899999999998
6,28,0.022311200000000003
6,44,0.021120999999999997
6,71,0.019555399999999997
6,114,0.019215100000000002
6,183,0.018848200000000002
6,294,0.0186032
6,472,0.018639899999999997
6,758,0.0185507
6,1218,0.018624599999999998
6,1955,0.0182993
6,3140,0.0181377
6,5043,0.018539700000000003
6,8098,0.0185562
6,13004,0.0182777
6,20882,0.0193318
6,33533,0.0195081
6,53848,0.018608499999999997
6,86472,0.021200599999999997
6,138860,0.0310143
6,222988,0.0468554
7,1,0.0273714
7,2,0.024381999999999997
7,3,0.0228268
7,4,0.0231822
7,7,0.0243595
7,11,0.0243142
7,17,0.022759400000000003
7,28,0.0221052
7,44,0.021908
7,71,0.019200799999999997
7,114,0.0196077
7,183,0.018623599999999997
7,294,0.0182052
7,472,0.0172492
7,758,0.0172833
7,1218,0.0173289
7,1955,0.017184699999999997
7,3140,0.017375
7,5043,0.0183146
7,8098,0.016883500000000003
7,13004,0.018113899999999995
7,20882,0.0184437
7,33533,0.0168438
7,53848,0.0185509
7,86472,0.020846499999999997
7,138860,0.0305556
7,222988,0.0471571
8,1,0.032544399999999994
8,2,0.0272756
8,3,0.0245875
8,4,0.025575300000000002
8,7,0.024594799999999993
8,11,0.0206849
8,17,0.0219257
8,28,0.0217594
8,44,0.020398900000000005
8,71,0.0191574
8,114,0.0200442
8,183,0.0175966
8,294,0.0190303
8,472,0.0163049
8,758,0.017436
8,1218,0.0173318
8,1955,0.0176589
8,3140,0.0169879
8,5043,0.0168142
8,8098,0.018318999999999995
8,13004,0.0176867
8,20882,0.0198865
8,33533,0.0188247
8,53848,0.0174392
8,86472,0.0206802
8,138860,0.031174600000000004
8,222988,0.050726099999999996
9,1,0.029005700000000002
9,2,0.028928799999999998
9,3,0.0263257
9,4,0.0255886
9,7,0.024522299999999997
9,11,0.023969800000000003
9,17,0.026581099999999996
9,28,0.0232439
9,44,0.023475899999999997
9,71,0.021804999999999998
9,114,0.0198314
9,183,0.019612800000000003
9,294,0.019085300000000003
9,472,0.018843500000000003
9,758,0.018350099999999998
9,1218,0.0183412
9,1955,0.018834999999999998
9,3140,0.0177425
9,5043,0.01792
9,8098,0.0183117
9,13004,0.017653500000000003
9,20882,0.0199514
9,33533,0.018209700000000002
9,53848,0.017939700000000003
9,86472,0.0205067
9,138860,0.029301000000000004
9,222988,0.047321
10,1,0.0305406
10,2,0.026930200000000005
10,3,0.0267687
10,4,0.0256256
10,7,0.024099
10,11,0.0237937
10,17,0.0226353
10,28,0.0225162
10,44,0.0202337
10,71,0.020940000000000004
10,114,0.020354
10,183,0.018888400000000003
10,294,0.0185589
10,472,0.0183171
10,758,0.0183647
10,1218,0.0178705
10,1955,0.018830600000000003
10,3140,0.017543200000000002
10,5043,0.017259499999999997
10,8098,0.0175557
10,13004,0.0169326
10,20882,0.018370000000000004
10,33533,0.017935900000000005
10,53848,0.0161653
10,86472,0.0210638
10,138860,0.031130800000000004
10,222988,0.04790319999999999
11,1,0.026911000000000008
11,2,0.024838700000000002
11,3,0.0241288
11,4,0.0242339
11,7,0.0225954
11,11,0.022675599999999997
11,17,0.022980300000000002
11,28,0.0201347
11,44,0.019282600000000004
11,71,0.0183598
11,114,0.018036399999999998
11,183,0.0171785
11,294,0.0175126
11,472,0.0170217
11,758,0.017018300000000004
11,1218,0.0172919
11,1955,0.016926699999999996
11,3140,0.0171119
11,5043,0.0169586
11,8098,0.017032000000000002
11,13004,0.0172314
11,20882,0.0159178
11,33533,0.0173307
11,53848,0.0165172
11,86472,0.020950600000000003
11,138860,0.0315921
11,222988,0.0475394
12,1,0.026392
12,2,0.0242646
12,3,0.0254071
12,4,0.0225843
12,7,0.022499599999999998
12,11,0.0227906
12,17,0.0212642
12,28,0.020135199999999995
12,44,0.018182900000000002
12,71,0.0181328
12,114,0.0170739
12,183,0.0168926
12,294,0.016430900000000002
12,472,0.0172912
12,758,0.01668
12,1218,0.016599000000000003
12,1955,0.0167467
12,3140,0.016134
12,5043,0.0165455
12,8098,0.0180064
12,13004,0.0177574
12,20882,0.016495899999999997
12,33533,0.0175325
12,53848,0.0174698
12,86472,0.020863899999999998
12,138860,0.031238000000000005
12,222988,0.0478542
13,1,0.0294588
13,2,0.0278141
13,3,0.0269004
13,4,0.026180799999999997
13,7,0.025137899999999998
13,11,0.026154
13,17,0.0236669
13,28,0.022813899999999995
13,44,0.0207632
13,71,0.0202989
13,114,0.019983800000000003
13,183,0.018937700000000002
13,294,0.0188148
13,472,0.0185384
13,758,0.0184128
13,1218,0.0180035
13,1955,0.017862300000000005
13,3140,0.0179538
13,5043,0.0173246
13,8098,0.018191
13,13004,0.0177946
13,20882,0.0166871
13,33533,0.017885
13,53848,0.0172777
13,86472,0.021324799999999998
13,138860,0.0316994
13,222988,0.0478947
14,1,0.0290505
14,2,0.033444800000000004
14,3,0.03176469999999999
14,4,0.027254700000000003
14,7,0.026814800000000007
14,11,0.0247689
14,17,0.023082200000000004
14,28,0.0208017
14,44,0.0205944
14,71,0.018800499999999998
14,114,0.0174457
14,183,0.019187000000000003
14,294,0.0185671
14,472,0.0184757
14,758,0.0180068
14,1218,0.017603600000000004
14,1955,0.0172087
14,3140,0.017650000000000002
14,5043,0.0173637
14,8098,0.0177198
14,13004,0.0178339
14,20882,0.017813500000000003
14,33533,0.0172218
14,53848,0.0177097
14,86472,0.0217004
14,138860,0.030708000000000003
14,222988,0.0475321
15,1,0.028910100000000005
15,2,0.030054900000000002
15,3,0.0278976
15,4,0.027297000000000005
15,7,0.026127399999999995
15,11,0.0247688
15,17,0.022441299999999997
15,28,0.0201357
15,44,0.0191765
15,71,0.019028700000000003
15,114,0.0174514
15,183,0.017633999999999997
15,294,0.017814499999999997
15,472,0.0182961
15,758,0.016811
15,1218,0.0166714
15,1955,0.0170152
15,3140,0.0169472
15,5043,0.0166716
15,8098,0.017255000000000003
15,13004,0.017660099999999998
15,20882,0.0172516
15,33533,0.018666000000000002
15,53848,0.0174512
15,86472,0.021079399999999998
15,138860,0.031737400000000006
15,222988,0.047788
16,1,0.027432
16,2,0.027986
16,3,0.0263009
16,4,0.0248567
16,7,0.025562099999999997
16,11,0.0238176
16,17,0.0224329
16,28,0.0201114
16,44,0.0191425
16,71,0.0187173
16,114,0.0180139
16,183,0.0181964
16,294,0.017949100000000003
16,472,0.0173366
16,758,0.0166447
16,1218,0.017007099999999997
16,1955,0.017029899999999997
16,3140,0.017205699999999997
16,5043,0.0167272
16,8098,0.017015800000000005
16,13004,0.0185898
16,20882,0.0182905
16,33533,0.0181324
16,53848,0.0187327
16,86472,0.0214759
16,138860,0.0315918
16,222988,0.04777460000000001
